time,shoulder link,upper arm link,forearm link,wrist1 link,wrist2 link,wrist3 link,total_reward
17.0,-0.18302146933216545,-0.09842273184473561,-0.2146066353558007,-0.20294880723981443,-0.04332473028040828,0.25729303145023297,962.3148215008274
18.0,-0.1955313882507765,-0.10008928691917682,-0.2294662934443685,-0.21676791197782666,-0.05373497913039488,0.27355483123531693,962.3148215008274
19.0,-0.20841418570820983,-0.10141773296950968,-0.24437936691390647,-0.2303932191135351,-0.06414890708709024,0.2893331095329827,962.3148215008274
20.0,-0.2217648704655931,-0.10244598891591063,-0.2594599780428279,-0.24422650171083246,-0.0743207109829131,0.304874255773725,962.3148215008274
21.0,-0.23559099000301373,-0.1035738779366601,-0.27474554829810977,-0.2582817384286787,-0.08444463538459396,0.32022292706900796,962.3148215008274
22.0,-0.2498329959050496,-0.10456857227934178,-0.2899800889962975,-0.27228976764874874,-0.09517861605487538,0.3352293893592739,962.3148215008274
23.0,-0.26442396811103885,-0.10545418134076333,-0.3049672934262638,-0.28617986076212426,-0.1063097417634409,0.35036354252340995,962.3148215008274
24.0,-0.27921883035267914,-0.10637950766862611,-0.320018595399099,-0.2997077735111372,-0.11789114651382585,0.36523458904309314,962.3148215008274
25.0,-0.2941251454327241,-0.10711543232754143,-0.33519098911079853,-0.3129317665936728,-0.12981425604762734,0.38019189390411207,962.3148215008274
26.0,-0.30752519840563525,-0.10978637624616587,-0.3496277312687262,-0.3256669215272682,-0.13859337586461137,0.3952381660045801,962.3148215008274
27.0,-0.3212062301044424,-0.11238095937585245,-0.3644259865468523,-0.3383762708856455,-0.14790032129520447,0.4103793526918959,962.3148215008274
28.0,-0.3351968967593181,-0.11492123791830354,-0.3795105694823104,-0.35107331988462376,-0.15767781610720413,0.42555979870963545,962.3148215008274
29.0,-0.34941265237131164,-0.11743553974806381,-0.3947050112013385,-0.3637658026421633,-0.16797665049280303,0.44066956110236866,962.3148215008274
